Standardized name	Isolate name	Isolation	Ecological origins	Geographical origins	Collection / Provider	Reference
AQN	CBS435	Moto (sake yeast starter)	Sake	Japan	CBS collection (Nguyen H.V.)	
AQP	CBS462	Grape must	Wine	Spain	CBS collection (Nguyen H.V.)	
AQQ	CBS1175	Wine	Wine	Switzerland	CBS collection (Nguyen H.V.)	
AQR	CBS1190	Wine	Wine	Germany	CBS collection (Nguyen H.V.)	
AQS	CBS1196	Arak Distillery	Distillery	Indonesia	CBS collection (Nguyen H.V.)	
AQT	CBS1230	Beer	Beer	Belgium	CBS collection	
ARA	CBS1239	Distillery	Distillery	NA	CBS collection (Nguyen H.V.)	
ARB	CBS1254	Bakery	Bakery	NA	CBS collection (Nguyen H.V.)	
ARC	CBS1257	Wine	Wine	Germany	CBS collection (Nguyen H.V.)	
ARE	CBS1398	Leaf of Eucalyptus sp.	Tree	NA	CBS collection (Nguyen H.V.)	
ARG	CBS1576	Exudate of Arenga sp.	Tree	Celebes, Sulavesi, Indonesia	CBS collection (Nguyen H.V.)	
ARH	CBS1592	Fermenting cacao	Fermentation	Java, Indonesia	CBS collection (Nguyen H.V.)	
ARI	CBS1593	Fermenting cacao	Fermentation	Java, Indonesia	CBS collection (Nguyen H.V.)	
ARK	CBS1602	Must of Blanchard pears	Fruit	NA	CBS collection (Nguyen H.V.)	
ARL	CBS2087	Lychee flower	Flower	China	CBS collection (Nguyen H.V.)	
ARM	CBS2188	Fruit of Eryobotrya japonica	Fruit	Japan	CBS collection (Nguyen H.V.)	
ARN	CBS2246	Sputum	Human, clinical	Netherlands	CBS collection (Nguyen H.V.)	
ARP	CBS2270	Japanese wine	Wine	Japan	CBS collection (Nguyen H.V.)	
ARQ	CBS2271	Wine	Wine	Belgium	CBS collection (Nguyen H.V.)	
ARR	CBS2272	Butter milk	Dairy	Delft, Netherlands	CBS collection (Nguyen H.V.)	
ARS	CBS2421	Japanese kefyr grains	Nature	NA	CBS collection (Nguyen H.V.)	
ART	CBS2808	Wine	Wine	Slovakia	CBS collection (Nguyen H.V.)	
ARV	CBS2965	Distillery	Distillery	Denmark	CBS collection (Nguyen H.V.)	
ASA	CBS4092	Film on white wine	Wine	Spain	CBS collection (Nguyen H.V.)	
ASB	CBS4255	Sputum	Human, clinical	NA	CBS collection (Nguyen H.V.)	
ASC	CBS4455	Kaffir beer	Beer	South Africa	CBS collection (Nguyen H.V.)	
ASD	CBS4507	Brewer's yeast, English top yeast	Beer	NA	CBS collection (Nguyen H.V.)	
ASE	CBS4667	Grapes	Wine	Former Czechoslovakia	CBS collection (Nguyen H.V.)	
ASG	CBS1489	Tubercular lung	Human, clinical	Italy	CBS collection (Nguyen H.V.)	
ASH	CLIB227	Beer holland	Beer	Netherlands	CLIB collection (Serge Casaregola)	
ASL	CLIB340	Bakery levain	Bakery	Anatolia, Turkey	CLIB collection / (Oraler G.)	
ASM	CLIB409	Sugar cane (plant)	Nature	Vietnam	CLIB collection (Serge Casaregola)	
ASN	CLIB630	Dairy cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
ASP	B1	Unknown	Unknown	France	Washington University School of Medicine (Justin C Fay)	5
ASR	M1	Vineyard	Wine	Italy	Washington University School of Medicine (Justin C Fay)	5
ASS	M5	Vineyard	Wine	Italy	Washington University School of Medicine (Justin C Fay)	5
AST	M6	Vineyard	Wine	Italy	Washington University School of Medicine (Justin C Fay)	5
ASV	M9	Vineyard	Wine	Italy	Washington University School of Medicine (Justin C Fay)	5
ATA	PR	Vineyard	Wine	France	Washington University School of Medicine (Justin C Fay)	5
ATB	Y1	Mushroom	Nature	NA	Washington University School of Medicine (Justin C Fay)	5
ATC	YJM308	Clinical	Human, clinical	NA	Washington University School of Medicine (Justin C Fay)	5
ATD	YJM339	Clinical	Human, clinical	NA	Washington University School of Medicine (Justin C Fay)	5
ATE	YJM627	Seg. Y55	Unknown	France	Washington University School of Medicine (Justin C Fay)	5
ATH	UC4	Vineyard	Wine	Germany	Washington University School of Medicine (Justin C Fay)	5
ATM	UC10	Wine	Wine	California, USA	Washington University School of Medicine (Justin C Fay)	5
ATN	Y4	Fruit	Fruit	Indonesia	Washington University School of Medicine (Justin C Fay)	5
ATP	Y5	Bili wine	Palm wine	West Africa	Washington University School of Medicine (Justin C Fay)	
ATQ	CECT10497	Alpechin (waste from olive oil production)	Industrial	Spain	CECT collection	
ATR	CECT10120	Fruit	Fruit	Spain	CECT collection	
ATS	CECT10131	Flower	Flower	Spain	CECT collection	
ATV	CECT1462	Beer	Beer	UK	CECT collection	
AVB	CECT10266	Tanning liquor	Industrial	Spain	CECT collection	
AVC	CECT10711	Sake	Sake	Japan	CECT collection	
AVD	CECT10712	Sake	Sake	Japan	CECT collection	
AVH	CECT1478	Wine	Wine	Hungary	CECT collection	
AVI	YPS163	Soil beneath Quercus rubra	Soil	Pennsylvanian	YPS collection / University of Pennsylvania, USA (Snigowski P.)	27
AVK	L-1194	Wine	Wine	Valle de Ica, Peru	Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	11
AVL	RIB6008	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
AVM	RIB6009	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
AVN	CH02	Pearl millet beer	Beer	Abengourou, Ivory Coast	UniversitÃ© de Lyon (Michel Aigle)	15
AVP	CH06	Pearl millet beer	Beer	Abengourou, Ivory Coast	UniversitÃ© de Lyon (Michel Aigle)	15
AVQ	CH10	Pearl millet beer	Beer	Abengourou, Ivory Coast	UniversitÃ© de Lyon (Michel Aigle)	15
AVR	CH11	Pearl millet beer	Beer	Abengourou, Ivory Coast	UniversitÃ© de Lyon (Michel Aigle)	15
AVS	CH14	Pearl millet beer	Beer	Abengourou, Ivory Coast	UniversitÃ© de Lyon (Michel Aigle)	15
AVT	CH13	Pearl millet beer	Beer	Abengourou, Ivory Coast	UniversitÃ© de Lyon (Michel Aigle)	15
AVV	DJ65	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAA	DJ66	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAB	DJ68	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAC	DJ70	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAD	DJ71	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAE	DJ73	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAF	DJ74	Palm wine	Palm wine	Yoboki, Djibouti	UniversitÃ© de Lyon (Michel Aigle)	22
BAG	SX1	Bark from tree in Fagaceae family 	Tree	Qinling Mountain, Shaanxi province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAH	SX3	Bark from Carya sp.	Tree	Qinling Mountain, Shaanxi province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAI	BJ6	Persimmon	Fruit	Changping, Beijing, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAK	BJ20	Bark from Quercus wutaishanica	Tree	Dongling Mountain, Beijing, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAL	HN6	Rotten wood	Nature	Bawangling Mountain, Hainan province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAM	HN10	Rotten wood	Nature	Wuzhi Mountain, Hainan province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAN	HN15	Rotten wood	Nature	Wuzhi Mountain, Hainan province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAP	HN16	Soil	Soil	Wuzhi Mountain, Hainan province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAQ	HN19	Bark from tree in Fagaceae family 	Tree	Wuzhi Mountain, Hainan province, China	Chinese Academy of Sciences (Feng-Yan Bai)	24
BAR	PB56	Bark from Quercus sp. (Oak 1), next to vineyard	Tree	Montalcino in Italy	Max Planck Institute for Evolutionary Biology (Primrose Boynton)	
BAS	PB67	Soil beneath grape vine	Soil	Montalcino in Italy	Max Planck Institute for Evolutionary Biology (Primrose Boynton)	
BAT	PB94	Soil by trunk of Quercus sp. (Oak 1), next to vineyard	Soil	Montalcino in Italy	Max Planck Institute for Evolutionary Biology (Primrose Boynton)	
BAV	PB137	Bark of grape vine 	Wine	Montalcino in Italy	Max Planck Institute for Evolutionary Biology (Primrose Boynton)	
BBA	PB197	Litter by trunk of Quercus sp. (Oak 4), next to vineyard	Soil	Montalcino in Italy	Max Planck Institute for Evolutionary Biology (Primrose Boynton)	
BBB	PB200	Soil by trunk of Quercus sp. (Oak K), next to vineyard	Soil	Montalcino in Italy	Max Planck Institute for Evolutionary Biology (Primrose Boynton)	
BBC	CCY_21-4-88	Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.	Fruit	Laksarska Nova Ves, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBD	CCY_21-4-97	Fish pond water	Water	Jakubov, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBE	CCY_21-4-98	Sediment of fresh water lake	Water	Jakubov, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBF	CCY_21-4-102	River water (Danube)	Water	Bratislava, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBG	CCY_21-4-106	River water (Morava)	Water	Devinska Nova Ves, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBH	CCY_21-4-119	Blossoms of pear tree (Pyrus communis)	Flower	Male Levare, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBI	CCY_21-4-120	Blossoms of plum tree (Prunus domestica L., 'Stanley')	Flower	Male Levare, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBK	CCY_21-4-121	Blossoms of apricot tree (Prunus armeniaca L., Madraska)	Flower	Male Zaluzie, Slovakia	Culture collection of Yeast (Renata Vadkertiova)	
BBL	IMB-53	Beetle Mimela aurata (Coleoptera, Rutelinae)	Insect	Platanus orientalis forest, in Belasista Mountain, near Kamena Village in Bulgaria	Bulgarian Academy of Science (Dilnora Gouliamova)	
BBM	908	Raicilla (Mexican distilled spirit)	Distillery	Jalisco, Mexico	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BBP	1663	Flower of Centaurea alba	Flower	Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BBQ	2162	Forest soil, 30C	Soil	Hungary	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BBR	2163	Quercus faginea, 30C	Tree	Castellon, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BBS	2187	Forest soil, 30C	Soil	Hungary	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BBT	2281	Grapes, Picudo variety	Wine	Valdevimbre, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BBV	2282	Grapes, Verdosilla variety	Wine	Tuejar, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BCA	2644	Human feces	Human, clinical	Hospital Vall d'Hebron, Barcelona, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BCB	HE001	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCC	HE004	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCD	HE005	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCE	HE006	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCF	HE007	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCG	HE008	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCH	HE009	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCI	HE010	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCK	HE011	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCL	HE012	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCM	HE013	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCN	HE015	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCP	HE016	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCQ	HE020	Human	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BCR	#23	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BCS	#03	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BCT	#05	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BCV	#33	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDA	#34	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDB	#35	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDC	#36	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDD	#13	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDE	#14	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDF	#57	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDG	#58	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDH	#59	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDI	#60	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDK	#63	Evolution canyon	Nature	Israel	Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo)	16
BDL	CLQCA_10-386	Beer	Beer	Equador	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
BDM	MAJ_A	Plant material	Nature	Majunga, Madagascar	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BDN	MAJ_G	Plant material	Nature	Majunga, Madagascar	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BDP	CEY615	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BDQ	CEY616	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BDR	CEY617	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BDS	CEY618	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BDT	CEY619	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BDV	CEY620	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BEA	CEY621	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BEB	CEY622	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BEC	CEY623	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BED	CEY624	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BEE	CEY625	Human feces	Human	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BEF	CLIB413	Fermenting rice	Fermentation	China	CLIB collection (Serge Casaregola)	
BEG	CLIB414	High sugar foodstuff, Food	Industrial	Japan	CLIB collection (Serge Casaregola)	
BEH	CLIB415	Fermenting rice (lao chao), Fermented beverage	Fermentation	Taiwan	CLIB collection (Serge Casaregola)	
BEI	CLIB650	Bili Bili beer, brewery	Beer	Chad	CLIB collection (Serge Casaregola)	
BEK	CLIB651	Beer leaven for Bili Bili beer, brewery	Beer	Chad	CLIB collection (Serge Casaregola)	
BEM	CLIB653	Beer leaven for Bili Bili beer, brewery	Beer	Chad	CLIB collection (Serge Casaregola)	
BEN	CLIB654	Beer leaven for Bili Bili beer, brewery	Beer	Chad	CLIB collection (Serge Casaregola)	
BEP	EXF-3387	Homemade apple vingar	Unknown	Ljubljana, Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BEQ	EXF-4126	Dry wine-berry selection	Wine	Ljubljana, Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BER	EXF-5042	Straw broom sink cleaning after grape pressing	Wine	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BES	EXF-5046	Grapes	Wine	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BET	EXF-5247	Seawater in harbour	Water	Koper, Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BEV	EXF-5248	Seawater in harbour	Water	Koper, Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFA	EXF-5284	Soil below rotten apple	Soil	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFB	EXF-5287	Plum	Nature	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFC	EXF-5295	Kefyr	Fermentation	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFD	EXF-5297	Mashed pears	Fruit	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFE	EXF-5734	Spoiled gooseberry juice	Industrial	NA	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFG	EXF-5869	Rotten wood	Nature	NA	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFH	EXF-5871	Homemade cheese	Dairy	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFK	EXF-6761	Quercus cerris	Tree	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFL	EXF-6780	Quercus petrea	Tree	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFM	EXF-6835	Petrol station, oil contaminated asphalt	Industrial	Slovenia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFN	EXF-7145	Quercus robur	Tree	Serbia	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFP	EXF-7197	Quercus sp.	Tree	Montenegro	University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.)	
BFQ	CLIB484	Cider brewery, industrial raw juice	Cider	Brittany, France	CLIB collection (Serge Casaregola)	
BFR	CLIB485	Cider brewery, industrial raw juice	Cider	Brittany, France	CLIB collection (Serge Casaregola)	
BFS	CLIB546	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BFT	CLIB547	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BFV	CLIB548	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGA	CLIB549	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGB	CLIB550	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGC	CLIB551	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGD	CLIB552	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGE	CLIB553	Dairy, raw milk	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGF	CLIB554	Dairy, brine	Dairy	France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGG	CLIB555	Dairy, brine	Dairy	France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGH	CLIB556	Dairy, Saint Maure goat's cheese	Dairy	Poitou-Charentes, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGI	CLIB557	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGK	CLIB558	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGL	CLIB559	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGM	CLIB560	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGN	CLIB561	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGP	CLIB562	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGQ	CLIB563	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGR	CLIB564	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGS	CLIB631	Dairy, cheese (camembert)	Dairy	Normandy, France	CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)	
BGT	CLIB648	Dairy, whey	Dairy	Alpes, France	CLIB collection (Serge Casaregola)	
BGV	CLIB649	Dairy, whey	Dairy	Alpes, France	CLIB collection (Serge Casaregola)	
BHA	CLIB655	Beer leaven for Bili Bili beer, brewery	Beer	Chad	CLIB collection (Serge Casaregola)	
BHB	CLIB889	Bakery	Bakery	Australia	CLIB collection / INRA Gringnon, France (Nguyen H.V.)	
BHC	CLIB1040	Cider brewery, raw apple juice	Cider	Brittany, France	CLIB collection (Serge Casaregola)	
BHD	CLIB1059	Cider brewery, half fermenting apple juice	Cider	Brittany, France	CLIB collection (Serge Casaregola)	
BHE	CLIB1060	Cider brewery, half fermenting apple juice	Cider	Brittany, France	CLIB collection (Serge Casaregola)	
BHF	CLIB1062	Cider brewery, half fermenting apple juice	Cider	Brittany, France	CLIB collection (Serge Casaregola)	
BHG	CLIB1070	Cider brewery, dry cider	Cider	Lower Normandy, France	CLIB collection (Serge Casaregola)	
BHH	CLIB1071	Cider brewery, dry cider	Cider	Lower Normandy, France	CLIB collection (Serge Casaregola)	
BHI	CLIB1072	Cider brewery, dry cider	Cider	Lower Normandy, France	CLIB collection (Serge Casaregola)	
BHK	CLIB1077	Cider brewery, dry cider	Cider	Upper Normandy, France	CLIB collection (Serge Casaregola)	
BHL	CLIB1082	Cider brewery, dry cider	Cider	Upper Normandy, France	CLIB collection (Serge Casaregola)	
BHM	CLIB1085	Cider brewery, dry cider	Cider	Upper Normandy, France	CLIB collection (Serge Casaregola)	
BHN	CLIB1410	Rice wine, Oenology	Fermentation	Laos	CLIB collection (Serge Casaregola)	
BHP	CLIB1411	Rice wine, Oenology	Fermentation	Laos	CLIB collection (Serge Casaregola)	
BHQ	CLIB1412	Rice wine, Oenology	Fermentation	Laos	CLIB collection (Serge Casaregola)	
BHR	CLIB1413	Rice wine, Oenology	Fermentation	Laos	CLIB collection (Serge Casaregola)	
BHS	CLIB1414	Rice wine, Oenology	Fermentation	Laos	CLIB collection (Serge Casaregola)	
BHT	CLIB1083	Cider brewery, dry cider	Cider	Upper Normandy, France	CLIB collection (Serge Casaregola)	
BHV	DBVPG1014	Grape must	Wine	Umbria, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIA	DBVPG1029	Fermenting Grape must	Wine	Colli di Roma, Lazio, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIB	DBVPG1041	Grape must	Wine	Tuscany, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIC	DBVPG1056	grape must	Wine	production zone of Chianti wine, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BID	DBVPG1058	Baker's yeast	Bakery	Pazzaglia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIE	DBVPG1074	Grape must	Wine	San Severo, Puglia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIF	DBVPG1076	Grape must	Wine	Locorotondo, Puglia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIG	DBVPG1080	Grape must	Wine	Barletta, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIH	DBVPG1105	Grapes	Wine	Adelaide, Australia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BII	DBVPG1106	Grapes	Wine	Australia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIK	DBVPG1107	Grapes	Wine	McLaren Valley, Australia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIL	DBVPG1108	Grapes	Wine	Australia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIM	DBVPG1122	Grape must	Wine	Lucera, Puglia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
